2022-07-10 20:03:39,538 | INFO | telegram | gruppo_test chat found. 
2022-07-10 20:03:40,707 | INFO | telegram | channel_test_mio chat found. 
2022-07-10 20:03:40,716 | INFO | telegram | Database connected 
2022-07-10 20:03:40,746 | INFO | telegram | Db name mongodb_db_msg, collection names ['collezione_get'] 
2022-07-10 20:03:40,910 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-10 20:03:41,252 | INFO | telegram | Plugin modules to load: ['count', 'forward', 'get_symb_ignore', 'github', 'help', 'join', 'ping_speed', 'system_stats', 'whois', 'zipfile'] 
2022-07-10 20:03:41,256 | INFO | telegram | Utils modules no bot to load: ['utils_no'] 
2022-07-10 20:03:41,447 | INFO | telegram | FOUND FILE TO RETRIEVE SYMBOLS FROM C:\Users\boxxo\PycharmProjects\forward_bot\ForwardBot\assets_to_ignore.txt 
2022-07-10 20:03:41,448 | INFO | telegram | {'glossary': {'PATTERN1': {'prefix': 'NUOVA IDEA DI TRADING 📈 \n\n', 'suffix': '\n\n⚠️ Questo messaggio non costituisce un consiglio di investimento ed è esclusivamente a scopo didattico ⚠️️\n'}, 'PATTERN2': {'prefix': '', 'suffix': ''}, 'PATTERN3': {'prefix': '', 'suffix': ''}, 'PATTERN4': {'prefix': '', 'suffix': ''}, 'PATTERN5': {'prefix': '', 'suffix': ''}, 'PATTERN6': {'prefix': '', 'suffix': ''}, 'PATTERN7': {'prefix': '', 'suffix': ''}, 'PATTERN8': {'prefix': '', 'suffix': ''}}} 
2022-07-10 20:03:41,452 | INFO | telegram | Successfully loaded 9 symbols to discard: ['EURJPY', 'USDJPY', 'GBPJPY', 'AUDJPY', 'CHFJPY', 'CADJPY', 'NZDJPY', 'USDMXN', 'GOLD'] 
2022-07-10 20:03:41,453 | INFO | telegram | FOUND FILE TO RETRIEVE BLACKLIST FROM C:\Users\boxxo\PycharmProjects\forward_bot\ForwardBot\blacklist.txt 
2022-07-10 20:03:41,454 | INFO | telegram | Successfully loaded 1 words to discard: ['SCALPING'] 
2022-07-10 20:03:41,603 | INFO | telegram | Attempting to run bot 
2022-07-10 20:03:43,943 | INFO | telegram | NEW MESSAGE CAUGHT NewMessage.Event(original_update=UpdateNewChannelMessage(message=Message(id=171, peer_id=PeerChannel(channel_id=1624457188), date=datetime.datetime(2022, 7, 10, 18, 3, 44, tzinfo=datetime.timezone.utc), message='GBPUSD BUY 1.19785\nSL 1.18754\nTP 1.24059', out=True, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, pinned=False, noforwards=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to=None, media=None, reply_markup=None, entities=[], views=1, forwards=0, replies=None, edit_date=None, post_author=None, grouped_id=None, reactions=None, restriction_reason=[], ttl_period=None), pts=272, pts_count=1), pattern_match=None, message=Message(id=171, peer_id=PeerChannel(channel_id=1624457188), date=datetime.datetime(2022, 7, 10, 18, 3, 44, tzinfo=datetime.timezone.utc), message='GBPUSD BUY 1.19785\nSL 1.18754\nTP 1.24059', out=True, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, pinned=False, noforwards=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to=None, media=None, reply_markup=None, entities=[], views=1, forwards=0, replies=None, edit_date=None, post_author=None, grouped_id=None, reactions=None, restriction_reason=[], ttl_period=None)) 
2022-07-10 20:03:43,943 | INFO | telegram | MESSAGE ACQUIRED {'_': 'Message', 'message': 'GBPUSD BUY 1.19785\nSL 1.18754\nTP 1.24059', 'pts': 272, 'pts_count': 1, 'id': 171, 'peer_id': {'_': 'PeerChannel', 'channel_id': 1624457188}, 'date': datetime.datetime(2022, 7, 10, 18, 3, 44, tzinfo=datetime.timezone.utc), 'out': True, 'mentioned': False, 'media_unread': False, 'silent': False, 'post': True, 'from_scheduled': False, 'legacy': False, 'edit_hide': False, 'pinned': False, 'noforwards': False, 'from_id': None, 'fwd_from': None, 'via_bot_id': None, 'reply_to': None, 'media': None, 'reply_markup': None, 'entities': [], 'views': 1, 'forwards': 0, 'replies': None, 'edit_date': None, 'post_author': None, 'grouped_id': None, 'reactions': None, 'restriction_reason': [], 'ttl_period': None} 
2022-07-10 20:03:43,945 | INFO | telegram | Trying to forward message: GBPUSD BUY 1.19785
SL 1.18754
TP 1.24059 
2022-07-10 20:03:43,960 | INFO | telegram | MATCH 1 
2022-07-10 20:03:43,960 | INFO | telegram | SYMBOLS FOUND IN THE MESSAGE (if any): ['GBPUSD', 'BUY', 'SL', 'TP'] 
2022-07-10 20:03:43,961 | INFO | telegram | 171 
