2022-07-13 20:43:19,141 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 20:43:19,141 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 20:43:19,142 | INFO | telegram | gruppo_test 
2022-07-13 20:43:19,142 | INFO | telegram | gruppo_test chat found. 
2022-07-13 20:43:20,487 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 20:43:20,487 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 20:43:20,487 | INFO | telegram | gruppo_test 
2022-07-13 20:43:20,487 | INFO | telegram | channel_test_mio 
2022-07-13 20:43:20,487 | INFO | telegram | channel_test_mio chat found. 
2022-07-13 20:43:20,519 | INFO | telegram | Database connected 
2022-07-13 20:43:20,540 | INFO | telegram | Db name mongodb_pyrogram, collection names ['collezione_get'] 
2022-07-13 20:43:22,262 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-13 20:43:22,263 | INFO | telegram | Couldn't get all the previous messages from chat gruppo_test 
2022-07-13 20:43:22,263 | INFO | telegram | Error binding parameter 0 - probably unsupported type. 
