2022-07-14 18:46:28,659 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-14 18:46:28,660 | INFO | telegram | PriceError WarehouseDeals 
2022-07-14 18:46:28,660 | INFO | telegram | gruppo_test 
2022-07-14 18:46:28,660 | INFO | telegram | gruppo_test chat found. 
2022-07-14 18:46:29,886 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-14 18:46:29,886 | INFO | telegram | PriceError WarehouseDeals 
2022-07-14 18:46:29,886 | INFO | telegram | gruppo_test 
2022-07-14 18:46:29,886 | INFO | telegram | channel_test_mio 
2022-07-14 18:46:29,886 | INFO | telegram | channel_test_mio chat found. 
2022-07-14 18:46:29,918 | INFO | telegram | Database connected 
2022-07-14 18:46:29,951 | INFO | telegram | Db name mongodb_pyrogram, collection names ['collezione_get'] 
2022-07-14 18:46:30,789 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-14 18:46:31,167 | INFO | telegram | {} 
2022-07-14 18:46:31,167 | INFO | telegram | {} 
2022-07-14 18:46:31,168 | INFO | telegram | {} 
2022-07-14 18:46:31,168 | INFO | telegram | {} 
2022-07-14 18:46:31,168 | INFO | telegram | {} 
2022-07-14 18:46:31,169 | INFO | telegram | {} 
2022-07-14 18:46:31,169 | INFO | telegram | {} 
2022-07-14 18:46:31,169 | INFO | telegram | {} 
2022-07-14 18:46:31,169 | INFO | telegram | {} 
2022-07-14 18:46:31,170 | INFO | telegram | {} 
2022-07-14 18:46:31,170 | INFO | telegram | {} 
2022-07-14 18:46:31,170 | INFO | telegram | {} 
2022-07-14 18:46:31,170 | INFO | telegram | {} 
2022-07-14 18:46:31,171 | INFO | telegram | {} 
2022-07-14 18:46:31,171 | INFO | telegram | {} 
2022-07-14 18:46:31,171 | INFO | telegram | {} 
2022-07-14 18:46:31,172 | INFO | telegram | {} 
2022-07-14 18:46:31,172 | INFO | telegram | {} 
2022-07-14 18:46:31,172 | INFO | telegram | {} 
2022-07-14 18:46:31,172 | INFO | telegram | {} 
2022-07-14 18:46:31,173 | INFO | telegram | {} 
2022-07-14 18:46:31,173 | INFO | telegram | {} 
2022-07-14 18:46:31,173 | INFO | telegram | {} 
2022-07-14 18:46:31,173 | INFO | telegram | {} 
2022-07-14 18:46:31,173 | INFO | telegram | {} 
2022-07-14 18:46:31,173 | INFO | telegram | {} 
2022-07-14 18:46:31,173 | INFO | telegram | {} 
2022-07-14 18:46:31,174 | INFO | telegram | {} 
2022-07-14 18:46:31,174 | INFO | telegram | {} 
2022-07-14 18:46:31,174 | INFO | telegram | {} 
2022-07-14 18:46:31,174 | INFO | telegram | {} 
2022-07-14 18:46:31,174 | INFO | telegram | {} 
2022-07-14 18:46:31,174 | INFO | telegram | {} 
2022-07-14 18:46:31,176 | INFO | telegram | {} 
2022-07-14 18:46:31,176 | INFO | telegram | {} 
2022-07-14 18:46:31,176 | INFO | telegram | {} 
2022-07-14 18:46:31,176 | INFO | telegram | {} 
2022-07-14 18:46:31,177 | INFO | telegram | {} 
2022-07-14 18:46:31,177 | INFO | telegram | {} 
2022-07-14 18:46:31,177 | INFO | telegram | {} 
2022-07-14 18:46:31,177 | INFO | telegram | {} 
2022-07-14 18:46:31,178 | INFO | telegram | {} 
2022-07-14 18:46:31,178 | INFO | telegram | {} 
2022-07-14 18:46:31,178 | INFO | telegram | {} 
2022-07-14 18:46:31,178 | INFO | telegram | {} 
2022-07-14 18:46:31,179 | INFO | telegram | {} 
2022-07-14 18:46:31,179 | INFO | telegram | {} 
2022-07-14 18:46:31,179 | INFO | telegram | {} 
2022-07-14 18:46:31,179 | INFO | telegram | {} 
2022-07-14 18:46:31,180 | INFO | telegram | {} 
2022-07-14 18:46:31,180 | INFO | telegram | {} 
2022-07-14 18:46:31,180 | INFO | telegram | {} 
2022-07-14 18:46:31,180 | INFO | telegram | {} 
2022-07-14 18:46:31,181 | INFO | telegram | {} 
2022-07-14 18:46:31,181 | INFO | telegram | {} 
2022-07-14 18:46:31,181 | INFO | telegram | {} 
2022-07-14 18:46:31,181 | INFO | telegram | {} 
2022-07-14 18:46:31,182 | INFO | telegram | {} 
2022-07-14 18:46:31,182 | INFO | telegram | {} 
2022-07-14 18:46:31,182 | INFO | telegram | {} 
2022-07-14 18:46:31,182 | INFO | telegram | {} 
2022-07-14 18:46:31,183 | INFO | telegram | {} 
2022-07-14 18:46:31,183 | INFO | telegram | {} 
2022-07-14 18:46:31,183 | INFO | telegram | {} 
2022-07-14 18:46:31,183 | INFO | telegram | {} 
2022-07-14 18:46:31,183 | INFO | telegram | {} 
2022-07-14 18:46:31,183 | INFO | telegram | {} 
2022-07-14 18:46:31,184 | INFO | telegram | {} 
2022-07-14 18:46:31,184 | INFO | telegram | {} 
2022-07-14 18:46:31,184 | INFO | telegram | {} 
2022-07-14 18:46:31,184 | INFO | telegram | {} 
2022-07-14 18:46:31,184 | INFO | telegram | {} 
2022-07-14 18:46:31,184 | INFO | telegram | {} 
2022-07-14 18:46:31,186 | INFO | telegram | {} 
2022-07-14 18:46:31,186 | INFO | telegram | {} 
2022-07-14 18:46:31,186 | INFO | telegram | {} 
2022-07-14 18:46:31,186 | INFO | telegram | {} 
2022-07-14 18:46:31,187 | INFO | telegram | {} 
2022-07-14 18:46:31,187 | INFO | telegram | {} 
2022-07-14 18:46:31,187 | INFO | telegram | {} 
2022-07-14 18:46:31,187 | INFO | telegram | {} 
2022-07-14 18:46:31,188 | INFO | telegram | {} 
2022-07-14 18:46:31,188 | INFO | telegram | {} 
2022-07-14 18:46:31,188 | INFO | telegram | {} 
2022-07-14 18:46:31,188 | INFO | telegram | {} 
2022-07-14 18:46:31,189 | INFO | telegram | {} 
2022-07-14 18:46:31,189 | INFO | telegram | {} 
2022-07-14 18:46:31,189 | INFO | telegram | {} 
2022-07-14 18:46:31,189 | INFO | telegram | {} 
2022-07-14 18:46:31,190 | INFO | telegram | {} 
2022-07-14 18:46:31,190 | INFO | telegram | {} 
2022-07-14 18:46:31,190 | INFO | telegram | {} 
2022-07-14 18:46:31,190 | INFO | telegram | {} 
2022-07-14 18:46:31,191 | INFO | telegram | {} 
2022-07-14 18:46:31,191 | INFO | telegram | {} 
2022-07-14 18:46:31,191 | INFO | telegram | {} 
2022-07-14 18:46:31,191 | INFO | telegram | {} 
2022-07-14 18:46:31,192 | INFO | telegram | {} 
2022-07-14 18:46:31,192 | INFO | telegram | {} 
2022-07-14 18:46:31,192 | INFO | telegram | {} 
