2022-07-13 21:35:10,608 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:35:10,609 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:35:10,609 | INFO | telegram | gruppo_test 
2022-07-13 21:35:10,609 | INFO | telegram | gruppo_test chat found. 
2022-07-13 21:35:12,652 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:35:12,652 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:35:12,653 | INFO | telegram | gruppo_test 
2022-07-13 21:35:12,653 | INFO | telegram | channel_test_mio 
2022-07-13 21:35:12,653 | INFO | telegram | channel_test_mio chat found. 
2022-07-13 21:35:12,753 | INFO | telegram | Database connected 
2022-07-13 21:35:12,805 | INFO | telegram | Db name mongodb_pyrogram, collection names ['collezione_get'] 
2022-07-13 21:35:14,342 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-13 21:35:14,859 | INFO | telegram | {} 
2022-07-13 21:35:14,859 | INFO | telegram | {} 
2022-07-13 21:35:14,860 | INFO | telegram | {} 
2022-07-13 21:35:14,860 | INFO | telegram | {} 
2022-07-13 21:35:14,860 | INFO | telegram | {} 
2022-07-13 21:35:14,860 | INFO | telegram | {} 
2022-07-13 21:35:14,860 | INFO | telegram | {} 
2022-07-13 21:35:14,860 | INFO | telegram | {} 
2022-07-13 21:35:14,860 | INFO | telegram | {} 
2022-07-13 21:35:14,861 | INFO | telegram | {} 
2022-07-13 21:35:14,861 | INFO | telegram | {} 
2022-07-13 21:35:14,861 | INFO | telegram | {} 
2022-07-13 21:35:14,861 | INFO | telegram | {} 
2022-07-13 21:35:14,861 | INFO | telegram | {} 
2022-07-13 21:35:14,861 | INFO | telegram | {} 
2022-07-13 21:35:14,861 | INFO | telegram | {} 
2022-07-13 21:35:14,862 | INFO | telegram | {} 
2022-07-13 21:35:14,862 | INFO | telegram | {} 
2022-07-13 21:35:14,862 | INFO | telegram | {} 
2022-07-13 21:35:14,862 | INFO | telegram | {} 
2022-07-13 21:35:14,862 | INFO | telegram | {} 
2022-07-13 21:35:14,862 | INFO | telegram | {} 
2022-07-13 21:35:14,862 | INFO | telegram | {} 
2022-07-13 21:35:14,863 | INFO | telegram | {} 
2022-07-13 21:35:14,863 | INFO | telegram | {} 
2022-07-13 21:35:14,863 | INFO | telegram | {} 
2022-07-13 21:35:14,863 | INFO | telegram | {} 
2022-07-13 21:35:14,863 | INFO | telegram | {} 
2022-07-13 21:35:14,863 | INFO | telegram | {} 
2022-07-13 21:35:14,863 | INFO | telegram | {} 
2022-07-13 21:35:14,864 | INFO | telegram | {} 
2022-07-13 21:35:14,864 | INFO | telegram | {} 
2022-07-13 21:35:14,864 | INFO | telegram | {} 
2022-07-13 21:35:14,864 | INFO | telegram | {} 
2022-07-13 21:35:14,864 | INFO | telegram | {} 
2022-07-13 21:35:14,864 | INFO | telegram | {} 
2022-07-13 21:35:14,864 | INFO | telegram | {} 
2022-07-13 21:35:14,865 | INFO | telegram | {} 
