2022-07-13 21:17:31,222 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:17:31,222 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:17:31,222 | INFO | telegram | gruppo_test 
2022-07-13 21:17:31,222 | INFO | telegram | gruppo_test chat found. 
2022-07-13 21:17:32,725 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:17:32,725 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:17:32,725 | INFO | telegram | gruppo_test 
2022-07-13 21:17:32,725 | INFO | telegram | channel_test_mio 
2022-07-13 21:17:32,725 | INFO | telegram | channel_test_mio chat found. 
2022-07-13 21:17:32,759 | INFO | telegram | Database connected 
2022-07-13 21:17:32,783 | INFO | telegram | Db name mongodb_pyrogram, collection names ['collezione_get'] 
2022-07-13 21:17:33,546 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-13 21:17:33,725 | INFO | telegram | Couldn't get all the previous messages from chat gruppo_test 
2022-07-13 21:17:33,726 | INFO | telegram | 'int' object has no attribute '__dict__' 
