2022-07-13 21:30:31,499 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:30:31,500 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:30:31,500 | INFO | telegram | gruppo_test 
2022-07-13 21:30:31,501 | INFO | telegram | gruppo_test chat found. 
2022-07-13 21:30:33,358 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:30:33,358 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:30:33,358 | INFO | telegram | gruppo_test 
2022-07-13 21:30:33,358 | INFO | telegram | channel_test_mio 
2022-07-13 21:30:33,358 | INFO | telegram | channel_test_mio chat found. 
2022-07-13 21:30:33,482 | INFO | telegram | Database connected 
2022-07-13 21:30:33,525 | INFO | telegram | Db name mongodb_pyrogram, collection names ['collezione_get'] 
2022-07-13 21:30:34,696 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-13 21:30:34,842 | INFO | telegram | Couldn't get all the previous messages from chat gruppo_test 
2022-07-13 21:30:34,842 | INFO | telegram | 'NoneType' object has no attribute '__dict__' 
