2022-07-13 21:27:11,242 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:27:11,243 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:27:11,243 | INFO | telegram | gruppo_test 
2022-07-13 21:27:11,243 | INFO | telegram | gruppo_test chat found. 
2022-07-13 21:27:13,083 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:27:13,084 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:27:13,084 | INFO | telegram | gruppo_test 
2022-07-13 21:27:13,084 | INFO | telegram | channel_test_mio 
2022-07-13 21:27:13,084 | INFO | telegram | channel_test_mio chat found. 
2022-07-13 21:27:13,132 | INFO | telegram | Database connected 
2022-07-13 21:27:13,165 | INFO | telegram | Db name mongodb_pyrogram, collection names ['collezione_get'] 
2022-07-13 21:27:14,017 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-13 21:27:14,195 | INFO | telegram | OK 
2022-07-13 21:27:14,196 | INFO | telegram | OK 
2022-07-13 21:27:14,196 | INFO | telegram | OK 
2022-07-13 21:27:14,196 | INFO | telegram | OK 
2022-07-13 21:27:14,196 | INFO | telegram | OK 
2022-07-13 21:27:14,196 | INFO | telegram | OK 
2022-07-13 21:27:14,197 | INFO | telegram | OK 
2022-07-13 21:27:14,197 | INFO | telegram | OK 
2022-07-13 21:27:14,197 | INFO | telegram | OK 
2022-07-13 21:27:14,197 | INFO | telegram | OK 
2022-07-13 21:27:14,198 | INFO | telegram | OK 
2022-07-13 21:27:14,198 | INFO | telegram | OK 
2022-07-13 21:27:14,198 | INFO | telegram | OK 
2022-07-13 21:27:14,198 | INFO | telegram | OK 
2022-07-13 21:27:14,198 | INFO | telegram | OK 
2022-07-13 21:27:14,199 | INFO | telegram | OK 
2022-07-13 21:27:14,199 | INFO | telegram | OK 
2022-07-13 21:27:14,199 | INFO | telegram | OK 
2022-07-13 21:27:14,199 | INFO | telegram | OK 
2022-07-13 21:27:14,200 | INFO | telegram | OK 
2022-07-13 21:27:14,200 | INFO | telegram | OK 
2022-07-13 21:27:14,200 | INFO | telegram | OK 
2022-07-13 21:27:14,200 | INFO | telegram | OK 
2022-07-13 21:27:14,200 | INFO | telegram | OK 
2022-07-13 21:27:14,201 | INFO | telegram | OK 
2022-07-13 21:27:14,201 | INFO | telegram | OK 
2022-07-13 21:27:14,201 | INFO | telegram | OK 
2022-07-13 21:27:14,201 | INFO | telegram | OK 
2022-07-13 21:27:14,202 | INFO | telegram | OK 
2022-07-13 21:27:14,202 | INFO | telegram | OK 
2022-07-13 21:27:14,202 | INFO | telegram | OK 
2022-07-13 21:27:14,202 | INFO | telegram | OK 
2022-07-13 21:27:14,202 | INFO | telegram | OK 
2022-07-13 21:27:14,203 | INFO | telegram | OK 
2022-07-13 21:27:14,203 | INFO | telegram | OK 
2022-07-13 21:27:14,203 | INFO | telegram | OK 
2022-07-13 21:27:14,203 | INFO | telegram | OK 
2022-07-13 21:27:14,204 | INFO | telegram | OK 
2022-07-13 21:27:14,204 | INFO | telegram | OK 
2022-07-13 21:27:14,204 | INFO | telegram | OK 
2022-07-13 21:27:14,204 | INFO | telegram | OK 
2022-07-13 21:27:14,204 | INFO | telegram | OK 
2022-07-13 21:27:14,205 | INFO | telegram | OK 
2022-07-13 21:27:14,205 | INFO | telegram | OK 
2022-07-13 21:27:14,205 | INFO | telegram | OK 
2022-07-13 21:27:14,205 | INFO | telegram | OK 
2022-07-13 21:27:14,206 | INFO | telegram | OK 
2022-07-13 21:27:14,206 | INFO | telegram | OK 
2022-07-13 21:27:14,206 | INFO | telegram | OK 
2022-07-13 21:27:14,206 | INFO | telegram | OK 
2022-07-13 21:27:14,206 | INFO | telegram | OK 
2022-07-13 21:27:14,207 | INFO | telegram | OK 
2022-07-13 21:27:14,207 | INFO | telegram | OK 
2022-07-13 21:27:14,208 | INFO | telegram | OK 
2022-07-13 21:27:14,208 | INFO | telegram | OK 
2022-07-13 21:27:14,208 | INFO | telegram | OK 
2022-07-13 21:27:14,208 | INFO | telegram | OK 
2022-07-13 21:27:14,209 | INFO | telegram | OK 
2022-07-13 21:27:14,209 | INFO | telegram | OK 
2022-07-13 21:27:14,209 | INFO | telegram | OK 
2022-07-13 21:27:14,209 | INFO | telegram | OK 
2022-07-13 21:27:14,209 | INFO | telegram | OK 
2022-07-13 21:27:14,210 | INFO | telegram | OK 
2022-07-13 21:27:14,210 | INFO | telegram | OK 
2022-07-13 21:27:14,210 | INFO | telegram | OK 
2022-07-13 21:27:14,210 | INFO | telegram | OK 
2022-07-13 21:27:14,211 | INFO | telegram | OK 
2022-07-13 21:27:14,211 | INFO | telegram | OK 
2022-07-13 21:27:14,212 | INFO | telegram | {} 
2022-07-13 21:27:14,212 | INFO | telegram | OK 
2022-07-13 21:27:14,212 | INFO | telegram | OK 
2022-07-13 21:27:14,213 | INFO | telegram | OK 
2022-07-13 21:27:14,213 | INFO | telegram | OK 
2022-07-13 21:27:14,213 | INFO | telegram | OK 
2022-07-13 21:27:14,214 | INFO | telegram | OK 
2022-07-13 21:27:14,214 | INFO | telegram | OK 
2022-07-13 21:27:14,214 | INFO | telegram | OK 
2022-07-13 21:27:14,214 | INFO | telegram | OK 
2022-07-13 21:27:14,214 | INFO | telegram | OK 
2022-07-13 21:27:14,215 | INFO | telegram | OK 
2022-07-13 21:27:14,215 | INFO | telegram | OK 
2022-07-13 21:27:14,216 | INFO | telegram | OK 
2022-07-13 21:27:14,216 | INFO | telegram | OK 
2022-07-13 21:27:14,216 | INFO | telegram | OK 
2022-07-13 21:27:14,216 | INFO | telegram | OK 
2022-07-13 21:27:14,216 | INFO | telegram | OK 
2022-07-13 21:27:14,217 | INFO | telegram | OK 
2022-07-13 21:27:14,217 | INFO | telegram | OK 
2022-07-13 21:27:14,217 | INFO | telegram | OK 
2022-07-13 21:27:14,217 | INFO | telegram | OK 
2022-07-13 21:27:14,217 | INFO | telegram | OK 
2022-07-13 21:27:14,218 | INFO | telegram | OK 
2022-07-13 21:27:14,218 | INFO | telegram | OK 
2022-07-13 21:27:14,218 | INFO | telegram | OK 
2022-07-13 21:27:14,220 | INFO | telegram | OK 
2022-07-13 21:27:14,220 | INFO | telegram | OK 
2022-07-13 21:27:14,220 | INFO | telegram | OK 
2022-07-13 21:27:14,220 | INFO | telegram | OK 
2022-07-13 21:27:14,221 | INFO | telegram | OK 
2022-07-13 21:27:14,221 | INFO | telegram | OK 
2022-07-13 21:27:14,221 | INFO | telegram | OK 
2022-07-13 21:27:14,221 | INFO | telegram | OK 
2022-07-13 21:27:14,221 | INFO | telegram | OK 
2022-07-13 21:27:14,222 | INFO | telegram | OK 
2022-07-13 21:27:14,222 | INFO | telegram | OK 
2022-07-13 21:27:14,222 | INFO | telegram | OK 
2022-07-13 21:27:14,222 | INFO | telegram | OK 
