2022-07-13 21:26:37,001 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:26:37,002 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:26:37,003 | INFO | telegram | gruppo_test 
2022-07-13 21:26:37,003 | INFO | telegram | gruppo_test chat found. 
2022-07-13 21:26:38,739 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:26:38,739 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:26:38,739 | INFO | telegram | gruppo_test 
2022-07-13 21:26:38,739 | INFO | telegram | channel_test_mio 
2022-07-13 21:26:38,740 | INFO | telegram | channel_test_mio chat found. 
2022-07-13 21:26:38,785 | INFO | telegram | Database connected 
2022-07-13 21:26:38,818 | INFO | telegram | Db name mongodb_pyrogram, collection names ['collezione_get'] 
2022-07-13 21:26:39,818 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-13 21:26:40,079 | INFO | telegram | Couldn't get all the previous messages from chat gruppo_test 
2022-07-13 21:26:40,079 | INFO | telegram | 'int' object has no attribute '__dict__' 
